id,name,constellation,coord,glon,glat,gal_coord,Vmag,n_Vmag,u_Vmag,spectral_type,spectral_type_full,n_spectral_type,RI,n_RI,BV,u_BV,UB,u_UB,RadVel,RotVel,Parallax,n_Parallax,g_coord_l_rad,g_coord_b_rad,coord_ra_deg,coord_dec_deg
4236, 42    UMa,UMa,"<SkyCoord (ICRS): (ra, dec) in deg
    (162.84875, 59.32)>",147.28,51.76,"<SkyCoord (Galactic): (l, b) in deg
    (147.28, 51.76)>",5.58, , ,K,K2III, ,, ,1.14, ,1.15, ,-17.0,,, ,2.5705209223372485,0.9033824208322649,162.84874999999997,59.32
4237, 41    Sex,Sex,"<SkyCoord (ICRS): (ra, dec) in deg
    (162.57541667, -8.89777778)>",259.52,43.53,"<SkyCoord (Galactic): (l, b) in deg
    (259.52, 43.53)>",5.79, , ,A,A3m, ,0.07, ,0.16, ,0.13, ,-4.0,20.0,, ,-1.7537068324039027,0.7597418233931317,162.57541666666665,-8.897777777777778
4238,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (162.4875, -34.05805556)>",276.0,22.38,"<SkyCoord (Galactic): (l, b) in deg
    (276., 22.38)>",5.61, , ,A,A1V, ,, ,0.04, ,0.05, ,-12.0,,, ,-1.4660765716752369,0.3906046865963309,162.48749999999998,-34.058055555555555
4239,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (162.35041667, -59.32361111)>",287.92,-0.06,"<SkyCoord (Galactic): (l, b) in deg
    (287.92, -0.06)>",5.91, , ,B,B9.5IV-V, ,, ,0.0, ,-0.09, ,4.0,,0.01,D,-1.2580333248375124,-0.0010471975511965976,162.35041666666666,-59.32361111111111
4240,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (162.7725, -3.0925)>",254.38,48.1,"<SkyCoord (Galactic): (l, b) in deg
    (254.38, 48.1)>",5.95, , ,K,K2, ,, ,1.48, ,1.83, ,37.0,,, ,-1.843416755956411,0.8395033702092726,162.77249999999998,-3.0925000000000002
4241,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.12833333, 52.56527778)>",155.83,56.29,"<SkyCoord (Galactic): (l, b) in deg
    (155.83, 56.29)>",6.65,R, ,G,gG8, ,, ,, ,, ,-8.0,,, ,2.719746573382764,0.982445835947608,163.1283333333333,52.56527777777777
4242,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.13291667, 52.50361111)>",155.91,56.33,"<SkyCoord (Galactic): (l, b) in deg
    (155.91, 56.33)>",6.44, , ,K,K2III, ,0.53, ,1.11, ,1.01, ,-3.0,,, ,2.721142836784359,0.9831439676484058,163.13291666666666,52.50361111111111
4243,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.37791667, 69.85388889)>",136.56,44.02,"<SkyCoord (Galactic): (l, b) in deg
    (136.56, 44.02)>",5.93, , ,G,G9IV, ,, ,0.99, ,0.86, ,15.0,,0.029, ,2.3834216265234565,0.7682939367279039,163.37791666666664,69.85388888888889
4244,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.05708333, 1.02527778)>",250.31,51.29,"<SkyCoord (Galactic): (l, b) in deg
    (250.31, 51.29)>",6.38, , ,A,A3V, ,, ,0.08, ,0.13, ,-13.0,75.0,, ,-1.91445165651258,0.8951793733478917,163.0570833333333,1.0252777777777777
4245,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.15041667, -0.20138889)>",251.78,50.48,"<SkyCoord (Galactic): (l, b) in deg
    (251.78, 50.48)>",6.31, , ,K,K5III, ,0.62,E,1.5, ,1.82, ,9.0,,, ,-1.8887953165082634,0.8810422064067375,163.15041666666664,-0.2013888888888889
4246, 44    UMa,UMa,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.39375, 54.585)>",152.85,55.15,"<SkyCoord (Galactic): (l, b) in deg
    (152.85, 55.15)>",5.1, , ,K,K3III, ,0.47,E,1.36, ,1.52, ,1.0,19.0,0.016, ,2.667735761673333,0.9625490824748727,163.39374999999998,54.585
